Name,Listing id,Price,Link
Used 2017 Lexus RX 350 FWD,574817033,"30,000",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574817033
Used 2018 Lexus GX 460,574793838,"41,900",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574793838
Used 2014 Lexus RX 350 FWD,574817488,"22,949",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574817488
Used 2014 Lexus IS 250,574860270,"18,200",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574860270
Used 2018 Lexus RX 350 FWD,574860100,"35,000",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574860100
Used 2015 Lexus ES 350,574846666,"20,975",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574846666
Used 2010 Lexus ES 350,568271460,"10,500",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568271460
Used 2018 Lexus NX 300 AWD,574760376,"32,991",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574760376
Used 2017 Lexus ES 350,571178684,"21,800",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=571178684
Certified 2017 Lexus GX 460,573980579,"40,756",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573980579
Used 2018 Lexus RX 350 AWD,574816971,NA,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574816971
Used 2013 Lexus LX 570 4WD,574814906,"37,995",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574814906
Used 2017 Lexus ES 350,574830273,"22,000",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574830273
Used 2015 Lexus IS 250C,569156855,"28,745",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569156855
Used 2015 Lexus RX 350 FWD,574628065,"21,843",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574628065
Used 2018 Lexus NX 300h AWD,573719510,"33,347",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=573719510
Used 2009 Lexus RX 350 AWD,574693176,"9,800",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574693176
Used 2017 Lexus RC 200t,574726254,"27,884",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574726254
Used 2017 Lexus RC 200t,574827192,"24,991",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574827192
Used 2014 Lexus ES 350,574860266,"18,000",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574860266
Used 2019 Lexus RX 350 AWD,574875236,"44,950",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574875236
Used 2016 Lexus ES 350,574828007,"20,990",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574828007
Used 2018 Lexus NX 300 AWD,574611189,"29,995",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574611189
Used 2018 Lexus NX 300 FWD,574614027,NA,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574614027
Used 2016 Lexus ES 350,574765684,"25,500",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574765684
Used 2012 Lexus ES 350,574764798,"14,490",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574764798
Used 2017 Lexus IS 300 AWD,574836010,"33,995",https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=574836010
