Name,Listing id,Price,Link,Year,Age
Used 2017 Lexus RX 350 AWD,565677242,33879,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=565677242,2017,4
Used 2013 Lexus GS 350 AWD,562732849,15678,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=562732849,2013,8
Used 2007 Lexus RX 350 2WD,569412821,7250,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569412821,2007,14
Used 2017 Lexus IS 200t,570198157,28888,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570198157,2017,4
Used 2014 Lexus GS 350,563603993,17272,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=563603993,2014,7
Used 2017 Lexus GS 200t F Sport,565297833,28939,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=565297833,2017,4
Used 2018 Lexus IS 300,568878043,25995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568878043,2018,3
Used 2017 Lexus RX 450h AWD,569163462,36211,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569163462,2017,4
Used 2019 Lexus NX 300 FWD,569269846,33388,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569269846,2019,2
Used 2017 Lexus RC 350 AWD,569281928,39473,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569281928,2017,4
Used 2010 Lexus RX 450h AWD,565642399,15470,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=565642399,2010,11
Used 2017 Lexus RX 350 FWD,569500453,28480,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569500453,2017,4
Used 2014 Lexus IS 250,565280253,19195,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=565280253,2014,7
Used 2013 Lexus RX 350 FWD,569006368,17848,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569006368,2013,8
Used 2016 Lexus NX 200t FWD,570192683,29999,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=570192683,2016,5
Used 2018 Lexus ES 350,568670553,29995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568670553,2018,3
Used 2017 Lexus ES 350,569026044,24500,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569026044,2017,4
Used 2018 Lexus NX 300 AWD,569354237,29900,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569354237,2018,3
Used 2019 Lexus GX 460,569048442,44500,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569048442,2019,2
Used 2019 Lexus RX 350 FWD,569071150,36983,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569071150,2019,2
Used 2016 Lexus RC 300 AWD,569154656,27500,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569154656,2016,5
Used 2014 Lexus IS 250,569200136,19695,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569200136,2014,7
Certified 2014 Lexus ES 350,569194482,19978,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569194482,2014,7
Used 2016 Lexus IS 200t,568129853,17903,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568129853,2016,5
Used 2019 Lexus ES 300h,569280315,37450,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569280315,2019,2
Used 2016 Lexus RX 350 FWD,569195247,28882,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569195247,2016,5
Used 2010 Lexus RX 350 2WD,569280314,11691,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569280314,2010,11
Used 2016 Lexus NX 200t AWD,569308475,28995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569308475,2016,5
Used 2015 Lexus IS 250 AWD,569013416,23828,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569013416,2015,6
Used 2019 Lexus RX 350 FWD,568970290,42990,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568970290,2019,2
Used 2013 Lexus RX 350 AWD,566421813,17495,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=566421813,2013,8
Used 2018 Lexus GX 460 Premium,568943987,36498,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568943987,2018,3
Used 2016 Lexus IS 200t,568944029,21698,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568944029,2016,5
Used 2014 Lexus ES 350,568987384,17350,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568987384,2014,7
Used 2019 Lexus NX 300 FWD,568948329,33000,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568948329,2019,2
Used 2017 Lexus IS 300 AWD,568335543,30995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568335543,2017,4
Used 2009 Lexus LS 460 Luxury,556717673,9995,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=556717673,2009,12
Used 2016 Lexus LX 570 4WD,569088335,61988,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569088335,2016,5
Used 2009 Lexus IS 250 AWD,568868358,11821,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568868358,2009,12
Used 2017 Lexus RX 350 AWD,567813331,38999,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=567813331,2017,4
Used 2018 Lexus RX 350 FWD,568987547,32988,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568987547,2018,3
Used 2013 Lexus ES 350,569132001,15950,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569132001,2013,8
Used 2019 Lexus GX 460,569148208,47990,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569148208,2019,2
Used 2005 Lexus ES 330,569095829,3588,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569095829,2005,16
Used 2017 Lexus ES 350,568034803,23541,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568034803,2017,4
Used 2015 Lexus RX 350 AWD,568971903,21597,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568971903,2015,6
Used 2013 Lexus ES 350,568064373,16990,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=568064373,2013,8
Used 2017 Lexus NX 200t F Sport,569207784,23926,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569207784,2017,4
Used 2019 Lexus ES 350,569275451,35888,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569275451,2019,2
Used 2018 Lexus GX 460,569242642,37750,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569242642,2018,3
Used 2015 Lexus RC 350 AWD,569079178,28000,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=569079178,2015,6
